[2026-09-16T07:41:49.906Z] IP: ::1 | Type: /upload-file | Status: START | Detail: Bắt đầu nhận request | File: No file info
[2026-09-16T07:41:49.919Z] IP: ::1 | Type: /upload-file | Status: SUCCESS | Detail: Đã lưu file: http://localhost:5000/uploads/1789544509916-7791491-PhieuLuong_ho__ng_3-2026.csv | File: Name: PhieuLuong_hoÃ ng_3-2026.csv, Size: 480 bytes, Mime: text/csv
[2026-09-16T07:43:17.460Z] IP: ::1 | Type: /upload-file | Status: START | Detail: Bắt đầu nhận request | File: No file info
[2026-09-16T07:43:17.465Z] IP: ::1 | Type: /upload-file | Status: SUCCESS | Detail: Đã lưu file: http://localhost:5000/uploads/1789544597462-841741509-IOT.doc | File: Name: IOT.doc, Size: 52224 bytes, Mime: application/msword
[2026-09-16T07:45:44.552Z] IP: ::1 | Type: /upload-file | Status: START | Detail: Bắt đầu nhận request | File: No file info
[2026-09-16T07:45:44.564Z] IP: ::1 | Type: /upload-file | Status: SUCCESS | Detail: Đã lưu file: http://localhost:5000/uploads/1789544744561-948007958-g__p____ho__ng_tr___nh.docx | File: Name: gÃ³p Ã½_hoÃ ng trá»nh.docx, Size: 32975 bytes, Mime: application/vnd.openxmlformats-officedocument.wordprocessingml.document
[2026-09-16T07:50:19.232Z] IP: ::1 | Type: /upload-file | Status: START | Detail: Bắt đầu nhận request | File: No file info
[2026-09-16T07:50:19.237Z] IP: ::1 | Type: /upload-file | Status: SUCCESS | Detail: Đã lưu file: http://localhost:5000/uploads/1789545019235-641681731-IOT.doc | File: Name: IOT.doc, Size: 52224 bytes, Mime: application/msword
[2026-09-16T08:05:30.367Z] IP: ::1 | Type: /upload-file | Status: START | Detail: Bắt đầu nhận request | File: No file info
[2026-09-16T08:05:30.371Z] IP: ::1 | Type: /upload-file | Status: SUCCESS | Detail: Đã lưu file: http://localhost:5000/uploads/1789545930369-105541075-gia_____n_d___y_bu___i_2.docx | File: Name: giaÃ³ Ã¡n dáº¡y buá»i 2.docx, Size: 16884 bytes, Mime: application/vnd.openxmlformats-officedocument.wordprocessingml.document
[2026-09-16T10:33:25.222Z] IP: ::1 | Type: /upload-file | Status: START | Detail: Bắt đầu nhận request | File: No file info
[2026-09-16T10:33:25.240Z] IP: ::1 | Type: /upload-file | Status: SUCCESS | Detail: Đã lưu file: http://localhost:5000/uploads/1789554805235-262221479-gia_____n_d___y_bu___i_2.docx | File: Name: giaÃ³ Ã¡n dáº¡y buá»i 2.docx, Size: 16884 bytes, Mime: application/vnd.openxmlformats-officedocument.wordprocessingml.document
[2026-09-17T07:31:55.769Z] IP: ::1 | Type: /upload-file | Status: START | Detail: Bắt đầu nhận request | File: No file info
[2026-09-17T07:31:55.781Z] IP: ::1 | Type: /upload-file | Status: SUCCESS | Detail: Đã lưu file: http://localhost:5000/uploads/1789630315778-764436831-gi__o___n_d___y_bu___i_1.docx | File: Name: giÃ¡o Ã¡n dáº¡y buá»i 1.docx, Size: 18136 bytes, Mime: application/vnd.openxmlformats-officedocument.wordprocessingml.document
[2026-09-17T07:36:30.479Z] IP: ::1 | Type: /upload-file | Status: START | Detail: Bắt đầu nhận request | File: No file info
[2026-09-17T07:36:30.491Z] IP: ::1 | Type: /upload-file | Status: SUCCESS | Detail: Đã lưu file: http://localhost:5000/uploads/1789630590481-169124584-H___a_S___Nh___T__i_Ba.pptx | File: Name: Há»a SÄ© NhÃ­ TÃ i Ba.pptx, Size: 514733 bytes, Mime: application/vnd.openxmlformats-officedocument.presentationml.presentation
[2026-09-18T08:15:05.500Z] IP: ::1 | Type: /api/upload/file | Status: START | Detail: Bắt đầu nhận request | File: No file info
[2026-09-18T08:15:05.549Z] IP: ::1 | Type: /api/upload/file | Status: SUCCESS | Detail: Đã lưu file: http://localhost:5000/uploads/1789719305545-962963534-Test_addCard_user_.xlsx | File: Name: Test_addCard(user).xlsx, Size: 13781 bytes, Mime: application/vnd.openxmlformats-officedocument.spreadsheetml.sheet
[2026-09-18T08:15:05.554Z] IP: ::1 | Type: /api/upload/file | Status: START | Detail: Bắt đầu nhận request | File: No file info
[2026-09-18T08:15:05.557Z] IP: ::1 | Type: /api/upload/file | Status: SUCCESS | Detail: Đã lưu file: http://localhost:5000/uploads/1789719305556-159204067-Test_EditProfile_user_.xlsx | File: Name: Test_EditProfile(user).xlsx, Size: 14666 bytes, Mime: application/vnd.openxmlformats-officedocument.spreadsheetml.sheet
[2026-09-18T08:15:05.563Z] IP: ::1 | Type: /api/upload/file | Status: START | Detail: Bắt đầu nhận request | File: No file info
[2026-09-18T08:15:05.570Z] IP: ::1 | Type: /api/upload/file | Status: SUCCESS | Detail: Đã lưu file: http://localhost:5000/uploads/1789719305567-773737203-Test_Login_user_.xlsx | File: Name: Test_Login(user).xlsx, Size: 60232 bytes, Mime: application/vnd.openxmlformats-officedocument.spreadsheetml.sheet
[2026-09-18T08:15:05.580Z] IP: ::1 | Type: /api/upload/file | Status: START | Detail: Bắt đầu nhận request | File: No file info
